epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,371.623,0.73002,0.63779,1.01435,0.52123,0.58953,0.58349,0.47295,0.80079,1.64074,0.95318,0.000270316,0.000270316,0.000270316
43,380.168,0.73595,0.6415,1.0144,0.51888,0.57528,0.60569,0.50979,0.73986,1.71286,0.92895,0.000265811,0.000265811,0.000265811
44,388.537,0.71801,0.62819,1.01876,0.47244,0.6011,0.60551,0.50485,0.76797,1.74603,0.94453,0.000261307,0.000261307,0.000261307
45,396.827,0.73457,0.63408,1.00957,0.53664,0.55208,0.59049,0.49528,0.7855,1.7769,0.95937,0.000256802,0.000256802,0.000256802
46,405.19,0.71079,0.60917,1.01037,0.53708,0.54192,0.60475,0.51054,0.75158,1.75361,0.94307,0.000252298,0.000252298,0.000252298
47,413.822,0.70806,0.60295,1.00166,0.5326,0.56215,0.58314,0.49285,0.74804,1.72988,0.93898,0.000247793,0.000247793,0.000247793
48,422.252,0.7054,0.60307,0.99372,0.4935,0.57541,0.56233,0.46814,0.73853,1.7322,0.93458,0.000243289,0.000243289,0.000243289
49,430.921,0.71871,0.6025,1.00086,0.52877,0.5655,0.56636,0.47966,0.71779,1.75546,0.93085,0.000238784,0.000238784,0.000238784
50,439.217,0.69965,0.59933,1.00576,0.53662,0.57037,0.55984,0.4739,0.74556,1.66672,0.9346,0.00023428,0.00023428,0.00023428
51,447.589,0.70857,0.57416,1.00391,0.51685,0.572,0.6042,0.50534,0.74807,1.69652,0.94125,0.000229775,0.000229775,0.000229775
52,455.971,0.69082,0.57054,0.98821,0.49851,0.5881,0.60531,0.50218,0.78167,1.70315,0.95044,0.00022527,0.00022527,0.00022527
53,464.319,0.68094,0.56589,0.98949,0.50491,0.56913,0.54757,0.45296,0.81795,1.778,0.97861,0.000220766,0.000220766,0.000220766
54,472.806,0.67012,0.5622,0.98603,0.50525,0.57749,0.56491,0.47379,0.78843,1.73177,0.95196,0.000216261,0.000216261,0.000216261
55,481.535,0.68108,0.56232,0.99451,0.50967,0.56521,0.60081,0.50214,0.78697,1.68808,0.95101,0.000211757,0.000211757,0.000211757
